source	time	person	location	organization	miscellaneous
emptywheel	2014-10-13T00:00:00	tyler durdenQ|mark adomanisQ|shiaQ|bashar al-assadQ|zero hedgeQ|vladimir putinQ|putin	emiratesQ|iranQ|angolaQ|europeQ|ecuadorQ|shia iranQ|nigeriaQ|qatarQ|ξQ|iraqQ|libyaQ|venezuelaQ|russiaQ|ukraineQ|algeriaQ|kuwaitQ|syriaQ|middle east	shahQ|obama administrationQ|isil	saudisQ|saudiQ|asianQ|ukrainian
emptywheel	2014-10-13T00:00:00	ashraf ghani ahmadzai	kobaniQ|iranQ|isisQ|kobaneQ|remarkablyQ|kabulQ|afghanistanQ|afghanistan remarkablyQ|syria	khaama pressQ|islamic state's siegeQ| yankee go homeQ|yankee go homeQ|solidarity party of afghanistanQ|bsaQ|syria sparks protestQ|islamic stateQ|wall street journalQ|bilateral security agreementQ|nato	afghansQ|kurdishQ|islamicQ|afghanQ|us-led
emptywheel	2014-10-11T00:00:00	jacob appelbaumQ|forrest ξQ|christopher tarbellQ|horowitzQ|judge katherineQ|glenn greenwaldQ|joshua horowitzQ|forrestQ|ross ulbrichtQ|tarbellQ|bart gellmanQ|bridgesQ|edward snowdenQ|ulbricht	silk roadQ|icelandQ|districtsQ|tarbell declarationQ|new york	nsaQ|n.Q|bradyQ|government communications headquartersQ|xkeyscoreQ|guardianQ|fbiQ|sr serverQ|data centerQ|greenwich mean timeQ|policy directiveQ|immigrationQ|facebookQ|gmailQ|central intelligence agencyQ|federal bureau of investigationQ|torQ|gchqQ|prismQ|subject ip addressQ|guardian prismQ|southern districtQ|drug enforcement administrationQ|leaked ipQ|customs enforcement homeland security investigationsQ|national security agencyQ|exhibitQ|ipQ|silk road serverQ|title iii penQ|fbi agentQ|tor'Q|as wiredQ|since item	icelandicQ|britishQ|requestQ|serverQ|agent tarbellQ|non-tor
emptywheel	2014-10-11T00:00:00	nick folesQ|bianchiQ|sutilQ|sebastian vettelQ|adrian sutilQ|fernando alonsoQ|julesQ|jules bianchiQ|damon hill	oregonQ|sochiQ|brownsQ|seattleQ|dallasQ|arizonaQ|texasQ|williamsQ|st. louisQ|suzukaQ|san franciscoQ|billsQ|mississippi	auburnQ|royalsQ|bulldogsQ|auburn tigersQ|uscQ|sauberQ|oriolesQ|nlcsQ|lsuQ|bad eliQ| ole miss rebelsQ|mississippi stateQ|kansas city royalsQ|team marussiaQ|steelersQ| boysQ|aryton senna	russian grand prixQ|japanese grand prix
emptywheel	2014-10-10T00:00:00	like obamaQ|malala yousafzaiQ|patrick leahyQ|edward snowden	ukQ|salonQ|europeQ|russiaQ|canadaQ|australiaQ|new zealandQ|norway	usa freedom actQ|nsaQ|peace priceQ|america's five eyes	europeanQ|nobel prizeQ|pakistaniQ|five eyesQ|nsa'sQ|norwegians
emptywheel	2014-10-10T00:00:00	rafiqQ|nawaz sharifQ|arif rafiqQ|john brennanQ|miram shahQ|sharif	pakistanQ|datta khelQ|north waziristan	talibanQ|praising pakistan armyQ|timesQ|operation zarb-e-azbQ|ciaQ|new york times	pakistani
emptywheel	2014-10-09T00:00:00	twitterQ|letterQ|kevin bankstonQ|douglas letterQ|mary murguia	doe	fbiQ|usa freedom actQ|court fbiQ|doj appellateQ|usafQ|federal bureau of investigationQ|effQ|nslQ|fisaQ|doj	circuitQ|nsls
emptywheel	2014-10-07T00:00:00	hammamakQ|thomas erdbrink	tehranQ|changiQ|iranQ|parchin	femaQ|google map of parchinQ|defense industries organizationQ|the timesQ|iranian students' news agencyQ|new york timesQ|bbc	iranian
emptywheel	2014-10-06T00:00:00	paulsonQ|yves smithQ|mickey kantorQ|smithQ|taiya smithQ|david mccormickQ|fannieQ|mccormickQ|hillary clintonQ|lehmanQ|morgan chaseQ|wang qishan	freddieQ|yorba lindaQ|californiaQ|aigQ|singaporeQ|middle eastQ|china	government of singapore investment corporationQ|new york fedQ|ptxQ|ubsQ|joint commissionQ|wall streets'Q|corrected proposed findings of factQ|commerceQ|treasury under secretaryQ|studzinski depQ|goldmanQ|cicQ|chinese investment corporationQ|chryslerQ|blackrockQ|sigtarpQ|aig'sQ|aig'Q|gicQ|senatorQ|treasuryQ|bank of america	middle easternQ|russiansQ|fedQ|japaneseQ|chinese
emptywheel	2014-10-06T00:00:00	dan williamsQ|williams	gazaQ|israelQ|iron dome	reutersQ|new york times	palestinianQ|lebanese
emptywheel	2014-10-06T00:00:00	jeh johnsonQ|linda sarsourQ|omar saqrQ|bashar al-assadQ|garr kingQ|mohamudQ|mohamed osman mohamud	portlandQ|alaskaQ|syria	fbiQ|international association of chiefs of policeQ|department of homeland securityQ|oregon districtQ|national network for arab american communitiesQ|dhsQ|homeland security secretaryQ|noor islamic cultural center	muslimQ|islamicQ|administration
emptywheel	2014-10-05T00:00:00	thomas duncanQ|linda m. stannard	kansas cityQ|columbiaQ|dallasQ|coloradoQ|liberiaQ|chicagoQ|wongQ|new jersey	rnaQ|cdcQ|wong's virologyQ|university of cape town	enterovirus d68Q|ebola
emptywheel	2014-10-05T00:00:00	verizonQ|james cole	federalQ|usa	fbiQ|exotic sectionQ|prttQ|protect america actQ|requests firstQ|and odniQ|prism' sectionQ|yahoo'sQ|us-based internetQ|internetQ|urlQ|sectionQ|nslQ|prism	hemisphereQ|state
emptywheel	2014-10-04T00:00:00	sebastian vettelQ|notre dameQ|bradyQ|fernando alonsoQ|dak prescottQ|peytonQ|ray riceQ|rich rodQ|alonsoQ|don'Q|barbara s. jonesQ|bill belQ|rich rodriquezQ|vettel	auburnQ|autzen stadiumQ|texasQ|alabamaQ|mississippiQ|michigan stateQ|new englandQ|anaheimQ|ann arborQ|mississippi stateQ|suzukaQ|detroitQ|nebraskaQ|maranello	ferrariQ|mclarenQ|nfl. manQ|oriolesQ|lsuQ|cardinalsQ|oregon ducksQ|arizona wildcatsQ| ole miss. bigQ|oaklandQ|kansas city royalsQ|hamiltonQ|red bullQ|angels	japanese grand prix
emptywheel	2014-10-03T00:00:00	goitein	just securityQ|iraq	us ipQ|nsaQ|elizabeth goiteinQ|brennan center's elizabeth goiteinQ|individualQ|isisQ|western unionQ|ciaQ|exotic internetQ|cdrQ|fiscQ|fbiQ|prttQ|usa freedom actQ|usa freedomQ|usafQ|dniQ| western unionQ|prism	qaedaQ|ip
emptywheel	2014-10-03T00:00:00	ken wainsteinQ|robert gatesQ|wainsteinQ|sealed caseQ|waltonQ|steven bradburyQ|reggie waltonQ|gatesQ|judge waltonQ|james bakerQ|mukaseyQ|attorney generalQ|kollar-kotellyQ|michael mukaseyQ|judge colleen kollar-kotellyQ|alberto gonzalesQ|craig morfordQ|bakerQ|peter keislerQ|edward snowden	agQ|fiscQ|yahoo	defenseQ|nsaQ|protect america actQ|fisa amendments actQ|paaQ|paa certificationsQ|department of defense supplemental procedures governing communications ξ metadata analysisQ|acting deputy attorney generalQ|national security agencyQ|fiscrQ|supplemental proceduresQ|faaQ|fbi general counselQ|doj	certifications
emptywheel	2014-10-03T00:00:00	muhsin al-fadhliQ|chris stevensQ|assadQ|jenan moussaQ|moussaQ|abu yusufQ|abu yousef al-turkiQ|eli lake	benghaziQ|afghanistanQ|aleppoQ|syriaQ|west	khorasan group'Q|qaedaQ|khorasan groupwasQ|wolf groupQ|joint special operations commandQ|jsocQ|isisQ|al-aan televisionQ|khorasan groupQ|daily beastQ|khorasanQ|qaeda'sQ|jabhat al-nusraQ|isil	jordanianQ|jihadistQ|kurdishQ|western
emptywheel	2014-10-03T00:00:00	fredrik dahlQ|tero varjorantaQ|najafiQ|george jahnQ|dahl	tehranQ|viennaQ|iran	mostafa ahmadi roshanQ|iaea reza najafiQ|foreign ministryQ|apQ|allameh tabatabaei universityQ|reutersQ|department of safeguardsQ|international atomic energy agencyQ| ramin mehmanparastQ|u.n.Q|iran's ambassadorQ|iaea	israelisQ|vienna-basedQ|iranianQ|western
emptywheel	2014-10-02T00:00:00	goldsmithQ|haroldQ|mary ellen oconnellQ|jack goldsmithQ|kohQ|adam schiffQ|s obamaQ|harold koh	islamic stateQ|syriaQ|iraq	ξ national defense universityQ|oblQ|america'sQ|obama's isilQ|defense contractorQ|just securityQ|national security constitutionQ|isilQ|constitutionQ|aumf	islamistQ|al-qaeda aumfQ|islamicQ|forever war
emptywheel	2014-10-02T00:00:00	amie williamsQ|thomas e. duncanQ|lesterQ|marthalene williamsQ|friedenQ|tom friedenQ|williamsQ|sonny boyQ|mark lesterQ|emmanuelQ|duncan	west africaQ|monroviaQ|sierra leoneQ|dallas-fort worthQ|guineaQ|dallasQ|liberiaQ|atlanta	texas health resourcesQ|daily mailQ|disease control and prevention directorQ|cdcQ|texas health presbyterian hospitalQ|ebola	u.s. investorsQ|liberian
emptywheel	2014-09-30T00:00:00	steve warrenQ|colonel patrick ryderQ|rami abdelrahmanQ|observatory	afghanistanQ|aleppoQ|manbijQ|syriaQ|iraq	human rightsQ|daily mailQ|isisQ|reutersQ|mr abdulrahmanQ|islamic stateQ|us senateQ|unQ|armyQ|pentagonQ|central commandQ| pentagonQ|britain-based syrian observatoryQ|the hillQ|britain-based syrian observatory for human rights	qaedaQ|islamic state-controlled
emptywheel	2014-09-29T00:00:00	abdullah'sQ|abdullah abdullahQ|rashid dostumQ|ghaniQ|abdullahQ|abdul rashid dostumQ|dostumQ|ashraf ghani	argQ|kabulQ|afghanistanQ|sheberghanQ|iraqQ|syria	talibanQ|bilateral security agreement	afghanQ|qaidaQ|western
emptywheel	2014-09-27T00:00:00	jeff millerQ|rayQ|janay riceQ|roger goodellQ|susanQ|ozzie newsomeQ|chris petersonQ|jim harbaughQ|susan kent davidson	soldier fieldQ|nc stateQ|new yorkQ|sun devil stadium	espnQ|jets jets jetsQ|royalsQ|apQ|winstonQ|nflQ|nfl security officeQ|san franQ|stanford	riceQ|bearsQ|iggles
emptywheel	2014-09-26T00:00:00	martin luther kingQ|king	salonQ|beyond vietnamQ|middle east	executive authorityQ|jr's' beyond vietnamQ|un climate summitQ|isil	khorasan
emptywheel	2014-09-25T00:00:00	chuck schumerQ|carrie johnsonQ|holderQ|lanny breuerQ|eric holderQ|preet bhararaQ|caroline krassQ|ted cruzQ|don verrilliQ|schumerQ|preetQ|verrilliQ|robert eatingerQ|alberto gonzalesQ|johnson	covingtonQ|niceQ|burlingQ|wall street	fisa amendments actQ|cia general counselQ|us attorneysQ|covington & burlingQ|gopQ|scotusQ|supreme courtQ|dojQ|lame duck	justicesQ|african americansQ|criminal divisionQ|amnesty v. clapper
emptywheel	2014-09-25T00:00:00	carterQ|salmanQ|prince khaledQ|jimmy carterQ|bandar'sQ|nouri al-malikiQ|barack obamaQ|zbigQ|brzezinskiQ|assadQ|bashar al-assadQ|king abdullahQ|kerryQ|zbigniew brzezinskiQ|adel al-jubeirQ|john kerry	red seaQ|iranQ|kabulQ|riyadhQ|afghanistanQ|islamic stateQ|vietnamQ|iraqQ|soviet unionQ|russiaQ|moscowQ|central europeQ|africaQ|syriaQ|saudi arabia	isisQ|national security advisorQ|vice president bidenQ|ussrQ|isilQ|islamic state'Q|soviets	russiansQ|arabQ|islamicQ|mujahadeenQ|iranianQ|saudiQ|moslemsQ|saudisQ|gulfQ|sovietQ|afghanQ|pro-sovietQ|qatarisQ|chilean
emptywheel	2014-09-25T00:00:00	ashraf ghani ahmadzaiQ|gordonQ|abdullah abdullahQ|ghaniQ|abdullahQ|michael gordonQ|ashraf ghani	kabulQ|afghanistanQ|iraq	state departmentQ|euQ|afghan security forces fundQ|ciaQ|sigarQ|new york timesQ|congressional research serviceQ|bilateral security agreement	afghan
emptywheel	2014-09-24T00:00:00	josh gersteinQ|chief executive	iraqQ|syria	u.s. armed forcesQ|public lawQ|jabhat al-nusraQ|isil	khorasanQ|kurdishQ|afghan aumfQ|aumf
emptywheel	2014-09-23T00:00:00	ronald t. hoskoQ|hosko	wake forestQ|n.c.	fbiQ|googleQ|apple	snapchat
emptywheel	2014-09-23T00:00:00	dick cheneyQ|hayesQ|bashar al-assadQ|spencer ackermanQ|stephen hayes	athensQ|statesQ|istanbulQ|turkeyQ|iraqQ|syriaQ|national counterterrorism centerQ|middle east	islamic state militant groupQ|senior officialQ|suspected terroristQ|isisQ|politico	europeanQ|guardianQ|english
emptywheel	2014-09-23T00:00:00	clapperQ|james ξQ|ibrahim al-asiriQ|spencer ackermanQ|rogersQ|gregory johnsenQ|khorasanQ| khorasanQ|micah zenkoQ|james clapperQ|mike rogersQ|ken dilanianQ|peter bergenhas	pakistanQ|europeQ|afghanistanQ|aleppoQ|yemenQ|syria	half' clapperQ|al qaedaQ|isisQ|nusra frontQ|too cuteQ|if khorasanQ|khorasan groupQ|cnn	qaedaQ|arabQ|islamicQ|al-qaidaQ|saudiQ|westernQ|yemeni
emptywheel	2014-09-22T00:00:00	bahaa al-arajiQ|sultanQ|steve clemonsQ|nouri al-malikiQ|prince mohammedQ|lindsey grahamQ|chuck hagelQ|prince bandarQ|assadQ|susan riceQ|bashar al-assadQ|abdullahQ|bandarQ|sadrQ|jabhat al-nusra	munichQ|jordanQ|daeshQ|qatarQ|baghdadQ|turkeyQ|syriaQ|iraqQ|saudi arabia	fsaQ|isisQ|shiite cleric moktada al-sadrQ|king abdullahQ|islamic stateQ|nytQ|u.s. national security adviser	islamistQ|arabicQ|c.i.a.Q|american-ledQ|saudiQ|qatariQ|iraqisQ|saudisQ|qataris
emptywheel	2014-09-22T00:00:00	muhannad hadi	syria	regional emergency coordinatorQ|wfpQ|world food programmeQ|united nations' world food programmeQ|us senate	us$Q| which
emptywheel	2014-09-20T00:00:00	aaron rodgersQ|adrian petersonQ|riceQ|jonathan dwyerQ|trash talkQ|peytonQ|criminal wintonQ|ozzie newsomeQ|drew stantonQ|steve bisciottiQ|carson palmerQ|palmerQ|ray riceQ|rex chapmanQ|darren sandersQ|sandersQ|roger goodellQ|don'Q|janay palmerQ|jameis winstonQ|goodellQ|dick cass	scottsdaleQ|revel hotelQ|seattleQ|atlantic cityQ|virginiaQ|detroitQ|qbQ|mississippiQ|tuscaloosa	bullets and sunsQ|florida gatorsQ|espnQ|players' unionQ|nflQ|espn's outside the linesQ|new york daily newsQ|national felon leagueQ|cardinalsQ|ravensQ|chargersQ|articleQ|nbaQ|baltimore ravensQ|byuQ|seasquawks	ninersQ|super bowlQ|cougarsQ|cardsQ|billsQ|broncs
emptywheel	2014-09-19T00:00:00	ted olson	israelQ|usa	fbiQ|fisa courtQ|unitQ|nsaQ|sigintQ|no flyQ|operations guideQ|fbi's domestic investigationsQ|fisa	muslimQ|israeliQ|palestinianQ|palestiniansQ|domain assessmentsQ|agentQ|english
emptywheel	2014-09-19T00:00:00	david petraeusQ|marcyQ|isisQ|al qaedaQ|sunniQ|sanchezQ|grahamQ|loretta sanchezQ|richard dearloveQ|prince bandarQ|bashar al-assadQ|assadQ|patrick cockburnQ|richardQ|colleen hanabusaQ|jackie walorskiQ|john klineQ|bob graham	jordanQ|tampaQ|iraqQ|londonQ|persian gulfQ|great britainQ|floridaQ|turkeyQ|syriaQ|saudi arabiaQ|middle east	mosulQ|defense departmentQ|ciaQ|islamic stateQ|us senateQ|house of saudQ|royal united services instituteQ|shiaQ|nusra frontQ|central intelligence agencyQ|british secret intelligence serviceQ|isilQ|florida governor	kingdomQ|saudisQ|timesQ|saudi
emptywheel	2014-09-18T00:00:00	ann curryQ|hassan rouhaniQ|javad zarifQ|zarifQ|assadQ|rouhaniQ|benjamin netanyahuQ|john kerry	tehranQ|iranQ|europeQ|new yorkQ|iraq	obama administrationQ|isisQ|nbc newsQ|ciaQ|one democraticQ|nprQ|un general assemblyQ|nbcQ|mehr newsQ|huffington postQ|p5 +Q|united nations	israeliQ|iranian
emptywheel	2014-09-17T00:00:00	v. bushQ|plaintiffsQ|victor restisQ|greenwaldQ|pallisQ|restisQ|glenn greenwaldQ|anastasios pallisQ|lewis fieldingQ|barack obamaQ|daniel ellsbergQ|ellsbergQ|mitchellQ|meir daganQ|john mitchell	iranQ|iraq	american coalition against nuclear iranQ|obama administrationQ|bush administrationQ|justice departmentQ|pentagon papersQ|uani's advisory boardQ| state secrets privilege declarations'Q|court'sQ|uaniQ|nixon administrationQ|united against nuclear iranQ|mohamed v. jeppesen dataplan	israeliQ|greekQ|ciaQ|governmentQ|defendants
emptywheel	2014-09-17T00:00:00	graberQ|allen rubyQ|callahanQ|jeff novitskyQ|chief judgeQ|bondsQ|rawlinsonQ|wardlawQ|w. fletcherQ|alice cooperstownQ|nguyenQ|novitskyQ|n.r. smithQ|walkerQ|dennis riordanQ|josh gerstein	friedlandQ|usa	panelQ|count fiveQ|reinhardtQ|us attorneysQ|ausa merry jean chanQ|jffQ|federal rules of appellate procedureQ|uniden corp.Q|balcoQ|kozinskiQ|orange county breezeQ|see appellant bonds's petitionQ|f.Q|am .,Q|circuit judgesQ|rehearing en bancQ|doj	circuit
emptywheel	2014-09-17T00:00:00	oh godQ|sultanQ|al qaedaQ|tom friedmanQ|matt stollerQ|george bushQ|carl levinQ|philip zelikowQ|martin dempseyQ|lawrence wrightQ|grahamQ|prince bandarQ|bandarQ|bandar bin sultanQ|zelikowQ|bob graham	central asiaQ|europeQ|arabQ|iraqQ|pakistanQ|islamQ|senatorsQ|syriaQ|saudi arabiaQ|middle east	 national security'Q|first amendmentQ|obama administrationQ|joint chiefsQ|isisQ|joint congressional inquiryQ|congressmenQ|commissionQ|joint inquiryQ|salafist islam	muslimQ|islamistQ|wahhabisQ|saudisQ|saudiQ|salafist
emptywheel	2014-09-16T00:00:00	azizullah bakhtyariQ|bakhtyariQ|faizullah zakiQ|abdullah abdullahQ|ghaniQ|hamid karzaiQ|abdullahQ|ashraf ghaniQ|john kerry	afghanistan	chairman of council of ministersQ|reutersQ|islamist talibanQ|independent election commissionQ|syed aqa fazel sancharakiQ|council of ministersQ|chief executiveQ|iec	afghanQ|western
emptywheel	2014-09-15T00:00:00	reggie walton	yahoo	fbiQ|usa freedom actQ|paaQ|protect america actQ|googleQ|associate general counselQ|agcQ|yahoo's vpQ|manager of yahoo's ξ legal complianceQ|microsoft	ims
emptywheel	2014-09-15T00:00:00	james bamfordQ|der spiegel	wired	nsaQ|treasureQ|the interceptQ|macQ|nsa'sQ|ipQ|internet protocolQ|national security agency	wifiQ|treasure map
emptywheel	2014-09-15T00:00:00	muaweyaQ|ismatullah muawiyaQ|asmatullah muaweyaQ|zahir azimiQ|syed muazzam shahQ|abdul samad samad	isiQ|pakistanQ|punjabQ|afghanistanQ|durand line	punjabi talibanQ|ansfQ|foreign ministryQ|modQ|express tribuneQ|afghan national security forcesQ|watershed eventQ|afghan ministry of defenseQ|ministry's	islamQ|pakistaniQ|islamicQ|afghan
emptywheel	2014-09-13T00:00:00	mike mcconnellQ|john batesQ|feingoldQ|russ feingoldQ|batesQ|wydenQ|mike mukaseyQ|ron wydenQ|kahnQ|schwartz	aden ayroQ|bush administrationQ|non-united statesQ|united states-personQ|faaQ|e.g.	paaQ|yahoo fiscrQ|nsaQ|johnQ|ciaQ|fbi minimizationQ|sectionQ|fisaQ|fbiQ|director of national intelligenceQ|fiscrQ|fourth amendment	moalinQ|basaaly moalinQ|fiscQ|yahoo
emptywheel	2014-09-13T00:00:00	ray riceQ|riceQ|goodell	arizonaQ|atlantic cityQ|revel casinoQ|new jersey	nfl.Q|nflQ|national football league	atlantic county daQ|tmzQ|ravens
emptywheel	2014-09-12T00:00:00	thomas drakeQ|levinQ|dick cheneyQ|john brennanQ|carl levinQ|brennanQ|larry sanchez	capitol hillQ|new york cityQ|national counterterrorism center	senate armed services committeeQ|senate intelligence committeeQ|terrorist threat integration centerQ|nypdQ|inspector generalQ|ciaQ|cia director	osama
emptywheel	2014-09-12T00:00:00	john boehnerQ|david petraeusQ|flemingQ|mark begichQ|boehnerQ|osama bin ladenQ|john flemingQ|barack obamaQ|begich	afghanistanQ|louisianaQ|alaskaQ|islamic stateQ|syriaQ|iraq	talibanQ|afghan security forces fundQ|isisQ|associated pressQ|house republicansQ|isil	afghanQ|groundhog day
emptywheel	2014-09-11T00:00:00	perhaps pewQ| bothQ|pewQ|edward snowden	bostonQ|iraqQ|syriaQ|middle east	nsaQ|wapoQ|isisQ| post-snowden eraQ|isilQ|cnnQ|national security agency	muslimQ|islamicQ|pre-snowden
emptywheel	2014-09-10T00:00:00	harmanQ|chuck toddQ|holderQ|saddam husseinQ|woodrow wilson centerQ|olsenQ|matthew olsenQ|eric holderQ|assadQ|bashar al-assadQ|jane harman	arabian peninsulaQ|mosul damQ|yemenQ|iraqQ|erbilQ|syriaQ|national counterterrorism center	aqapQ|al qaedaQ|isisQ|congressionalQ|brookings institutionQ|european union	qaedaQ|sunni
emptywheel	2014-09-09T00:00:00	caitlin haydenQ|paulQ|james madisonQ|rand paulQ|jane harman	republicQ|afghanistan aumfQ|syriaQ|iraq	war powers actQ|war power resolutionQ|their temporary presenceQ|isisQ|organization of their activitiesQ|woodrow wilson international center for scholarsQ|lemon slayerQ|aumf	afghanQ|chilean
emptywheel	2014-09-09T00:00:00	abdolreza rahmani fazliQ|fazli	pakistanQ|iranQ|bagramQ|dubaiQ|kabulQ|afghanistanQ|syriaQ|iraqQ|irna	interiorQ|islamic state of iraqQ|bandar abbasQ|isisQ|rahmani fazliQ|levantQ|isilQ|interior abdolreza rahmani fazli	afghansQ|pakistanisQ|daeshQ|iranianQ|afghan
emptywheel	2014-09-09T00:00:00	aliQ|abu zubaydahQ|khalid sheikh mohammedQ|khalid sheik mohammedQ|abdul aziz aliQ|ammar al-baluchiQ|abd al-rahim al-nashiriQ|baluchi	kabulQ|karachiQ|salt pit	liz babydick cheneyQ|nashiriQ|ciaQ|telegraphQ|ksm	pakistanisQ|ssci
emptywheel	2014-09-08T00:00:00	john batesQ|batesQ|leahyQ|clapperQ|patrick leahyQ|james clapper	usa	nsaQ|foreign intelligence surveillance courtQ|cdrQ|fiscQ|fisaQ|fbiQ|special advocatesQ|usa freedomQ|usa freedumberQ|administrative officeQ|usa freedumbQ|call detail record	u.s. courts
emptywheel	2014-09-08T00:00:00	dick cheneyQ|saddam husseinQ|judy millerQ|labor dayQ|condi riceQ|andy cardQ|michael gordon	mosul damQ|erbilQ|syriaQ|iraq	pressQ|al qaedaQ|new war roll-outQ|fataQ|isilQ|nato	nyt
emptywheel	2014-09-06T00:00:00	judge gerard lynchQ|goldsmithQ|smithQ|jack goldsmithQ|colleen kollar-kotellyQ|stellar wind	maryland	nsaQ|protect america actQ|olcQ|fiscQ|table of contentsQ|supreme courtQ|executiveQ|usa freedom actQ|usa freedomQ|internet'Q|fourth amendmentQ|internet	u.s. 735
emptywheel	2014-09-06T00:00:00	kevin jon hellerQ|jason leopoldQ|david krisQ|krisQ|awlakiQ|chief executiveQ|stephen prestonQ|barronQ|david barronQ|hellerQ|prestonQ|anwar al-awlaki	u.s. constitutionQ|white paper	article iiQ|nsaQ|olcQ|traditional militaryQ|ciaQ|aumfQ|deb pearlsteinhasQ|titleQ|members of congressQ|presidential findingQ|fourth amendmentQ|us codeQ|dodQ|national security actQ|gloves come off memorandum of notification	qaedaQ|findingQ|american peopleQ|constitutionQ|u.s. law
emptywheel	2014-09-06T00:00:00	marcyQ|elena delle donneQ|brittneyQ|bob schachtQ|brittney grinerQ|diana taurasi	big houseQ|monzaQ|trashQ|monacoQ|south bendQ|spa	phoenix mercuryQ|chicago skyQ|wnba finalsQ|nbc sportsQ|phoenix	squawksQ|italian grand prixQ|continueQ|belgian
emptywheel	2014-09-05T00:00:00	batesQ|vladeckQ|clapperQ|leahyQ|steve vladeckQ|patrick leahyQ|reggie waltonQ|john batesQ|bob littQ|alex kozinskiQ|james clapperQ|judge bates	fisc	fisa court of reviewQ|fisaQ|fbiQ|fisa courtQ|judiciary''Q|ξ executive branchQ|judiciaryQ|dniQ|patriot actQ|judicial conferenceQ|director batesQ|foreign intelligence surveillance courtQ|judiciary'Q|executive'sQ|usa freedom actQ|executiveQ|first amendmentQ|director of national intelligenceQ|administrative offices	prttQ|u.s. courts
emptywheel	2014-09-04T00:00:00	aaron rodgersQ|bobQ|yeahQ|bob schachtQ|brittney grinerQ|richard shermanQ|diana taurasi	seattleQ|brittneyQ|emerald city	phoenix mercuryQ|marcyQ|heroes of titletownQ|arizona cardinalsQ|green bay packersQ|cardinalsQ|seattle seasquawksQ|wnba	baylor bearQ|wnba championshipQ|pack
emptywheel	2014-09-04T00:00:00	joe liebermanQ|abbas araghchiQ|mike gersonQ|mohammad zarifQ|david albrightQ|catherine ashtonQ|william burnsQ|majid takht-ravanchiQ|wendy shermanQ|mark salterQ|fran townsend	tehranQ|iranQ|uaniQ|genevaQ|germanyQ|new york	euQ|marcyQ|foreign ministryQ|justice departmentQ|reutersQ|stateQ|mossadQ|the obamaQ|united against nuclear iranQ|european unionQ|irnaQ|advisory board	greekQ|iranian
emptywheel	2014-09-03T00:00:00	goshQ|anders fogh rasmussenQ|bismillah mohammadiQ|abdullah abdullahQ|rasmussenQ|hamid karzaiQ|kerryQ|john kerry	postQ|walesQ|afghanistanQ|brussels	state john f. kerryQ|islamic emirateQ|north atlantic treaty organizationQ|talibanQ|washington postQ|ansfQ|afghan national security forcesQ|nato chicagoQ|supreme courtQ|bilateral security agreementQ|nato	afghan
emptywheel	2014-09-03T00:00:00	keith alexanderQ|morganQ|alexanderQ|mike rogers	russiaQ|ukraineQ|bloomberg	jp morganQ|u.s. army	nsa
emptywheel	2014-09-02T00:00:00	judge lynchQ|clapperQ|lynchQ|robert sackQ|smithQ|alex abdoQ|deleryQ|sackQ|abdoQ|gerard lynchQ|stuart deleryQ|james coleQ|edward snowden	amnestyQ|maryland	aclu v. clapperQ|fisa courtQ|usa freedomQ|western unionQ|fourth amendmentQ|acluQ|scotusQ|sectionQ|supreme courtQ|doj	doj civil division
emptywheel	2014-09-02T00:00:00	george orwellQ|bashar al-assadQ|collQ|steve coll	europeQ|new yorkerQ|euphrates riverQ|isisQ|communismQ|manbijQ|raqqaQ|syriaQ|iraqQ|tishrinQ|spainQ|middle east	ξ consumer protection authorityQ|jocelyne cesariQ|ξ uways al-qaraniQ|nyt	islamicQ|europeansQ|cesariQ|syriansQ|iraqis
emptywheel	2014-09-01T00:00:00	dawn ξQ|tahirul qadriQ|imran khanQ|khawaja asifQ|khanQ|nawazQ|nawaz sharifQ|hashmiQ|fizzling outQ|javed hashmiQ|imranQ|sharif	parliamentQ|pakistanQ|bangladeshQ|islamabadQ|afghanistanQ|india	patQ|ptiQ|reutersQ|cjQ|justice jilaniQ|pakistan awami tehreekQ|supreme court	pakistani
emptywheel	2014-08-30T00:00:00	like fergusonQ|morris davisQ|kennyQ|ole ballQ|ole missQ|kevin sumlinQ|steve spurrierQ|david byrneQ|don'Q|kenny hillQ|jameis winstonQ|johnny footballQ|weber state	wisconsinQ|old puebloQ|big houseQ|notre dameQ|west virginiaQ|nevadaQ|arizonaQ|texasQ|black rockQ|appalachiaQ|georgiaQ|virginiaQ|alabamaQ|south carolina	marcyQ|trash talkQ|jacksonville stateQ|michigan bo merlot wolvereeniesQ|unlvQ|mountaineersQ|jimQ|boise stateQ|uclaQ|navy midshipmenQ|ann arborQ|gulf coast pirateQ|dudeQ|rich rodQ|osu cowboysQ|trashQ|ohio state blecheyesQ|navyQ|michigan schoolQ|fresno state buldogs	gamecocksQ|irishQ|aggiesQ|merlotQ|national championship
emptywheel	2014-08-29T00:00:00	judge gray millerQ|miller	libyaQ|iranQ|mediterranean seaQ|texasQ|houstonQ|baghdadQ|kurdistanQ|turkeyQ|iraqi kurdistanQ|iraq	united kalavrvtaQ|reutersQ|u.s. coast guardQ|iraqi oil ministryQ|hunt oil'sQ|kurdistan regional government	iraq-ownedQ|kurdishQ|iraqi kurdishQ|kurds
