source	time	person	location	organization	miscellaneous
emptywheel	2013-08-07T00:00:00	lying keithQ|keith alexanderQ|joel brennerQ|wydenQ|mark udallQ|james clapperQ|keithQ|alexanderQ|when jamesQ|ron wydenQ|edward snowdenQ|george stephanopoulos	china	nsaQ|least untruthful' clapper	guardian
emptywheel	2013-08-07T00:00:00	osamaQ|ibrahim al-asiriQ|barbara starrQ|nasser al-wuhayshiQ|doomQ|fahd al-qusoQ|ayman al-zawahriQ|abdo rabi mansour hadi	arabian peninsulaQ|north africaQ|wuhayshiQ|yemenQ|zawahiriQ|middle east	daily beastQ|qaedaQ|u.s. state departmentQ|air marshalsQ|ξ daily beastQ|apQ|u.s. embassyQ|yemen-based al qaedaQ|nyt	mideastQ|westernQ|yemeni
emptywheel	2013-08-07T00:00:00	john s. pistoleQ|john pistoleQ|mohamed mohamudQ|farooque ahmedQ|ahmedQ|pistole	fbiQ|londonQ|madridQ|moscowQ|virginiaQ|d.c.Q|alexandria	tsaQ|department of homeland securityQ|pentagon city metroQ|arlington national cemeteryQ|visible intermodal prevention and responseQ|deputy directorQ|federal bureau of investigationQ|viprQ|courthouse	metrorail
emptywheel	2013-08-07T00:00:00	three bradleyQ|foustQ|ramsteinQ|container delivery systemQ|joshua foust	bagramQ|sanaaQ|germanyQ|yemen	wikimedia commonsQ|bbc newsnightQ|joint special operations commandQ|jsocQ|special forcesQ|cdsQ|us air forceQ|us armyQ|al-qaedaQ|bbcQ|state departmentQ|nbcQ|air force	apacheQ|yemeni
emptywheel	2013-08-07T00:00:00	ayman al-zawahiriQ|josh roginQ|eric eoin marquesQ|keith alexanderQ|ofir davidQ|nasir al-wuhayshiQ|lakeQ|eli lake	cyberhatQ|yemenQ|zawahiri	nsaQ|firefoxQ|ξ hidden wikiQ|dnsQ|domain name systemQ|freedom hostingQ|baneki privacy labsQ|american registry for internet numbersQ|hidden wikiQ|national security agencyQ|daily dotQ|daily beastQ|fbiQ|deep webQ|arinQ|tor browser bundleQ|dark netQ|hacking newsQ|wuhayshiQ|torQ|ξ krebs	qaedaQ|darknetQ|israeliQ|irishQ|yemeniQ|internet
emptywheel	2013-08-07T00:00:00	ayman al-zawahiriQ|lindseyQ|wardQ|jon stephensonQ|james asherQ|john mccainQ|nasir al-wuhayshiQ|lindsey graham	yemen	nytQ|mcclatchyQ|cnn	yemenisQ|yemeniQ|democracyQ|administration
emptywheel	2013-08-06T00:00:00	michael v. haydenQ|ayman al-zawahiriQ|michael haydenQ|mcclatchyQ|nasirQ|andrea mitchellQ|wuhayshiQ|nasir al-wuhayshiQ|osama bin ladenQ|george littleQ|ayman zawahiriQ|zawahiriQ|edward snowden	arabian peninsulaQ|north africaQ|sanaaQ|yemenQ|middle east	wapoQ|u.s. state departmentQ|defense departmentQ|al qaedaQ|aymanQ|qaidaQ|nytQ|al qaidaQ|state departmentQ|air forceQ|fox news sunday	saudisQ|yemen-basedQ|yemeni
emptywheel	2013-08-06T00:00:00	dera ismail khanQ|benghazi dayQ|muslim khanQ|mualana sufi mohammadQ|afridiQ|osama bin ladenQ|shakil afridi	pakistanQ|yemenQ|khyber pakhtunkhwaQ|khyber	talibanQ|fox newsQ|tnsmQ|ciaQ|central jail peshawarQ|central intelligence agencyQ|peshawar central jailQ|kpkQ|tehrik nifaz sharia-i-muhammadi	armyQ|pakistaniQ|peshawar central prisonQ|swat
emptywheel	2013-08-05T00:00:00	administrator constantineQ|viktor boutQ|judge nancy gertner	newingtonQ|virginia	sodQ|deaQ|kingpin strategyQ|drug enforcement agency's special operations divisionQ|justice departmentQ|reuter'sQ|reutersQ|reuterQ|due process	kingpinQ|special ops divisionQ|constitutionalQ|special operations division
emptywheel	2013-08-02T00:00:00	marcyQ|urban meyerQ|jesusQ|tim tebowQ|peyton manning	gainesville	donkos rule	racistQ|belgian grand prixQ|patriots
emptywheel	2013-08-02T00:00:00	john pistoleQ|john brennanQ|ibrahim al-asiriQ|hadi'sQ|pistole	libyaQ|pakistanQ|arabian peninsulaQ|rossQ|north africaQ|yemenQ|iraqQ|middle east	state departmentQ|department of stateQ|bush white houseQ|underwearQ|apQ|doj	undiebombQ|asiriQ|abdulmutallabQ|britsQ|yemeni
emptywheel	2013-08-02T00:00:00	john conyersQ|arlen specterQ|russ feingoldQ|reyesQ|leahyQ|patrick leahyQ|silvestre reyesQ|dick durbin	house judiciary	judiciary committeesQ|intelligence committeeQ|senators feingoldQ|executive branchQ|fisaQ|foreign intelligence surveillance actQ|house intelligence committeeQ|usa patriot actQ|house permanent select committeeQ|pen register / trapQ|patriot actQ|membersQ|intelligenceQ|senate judiciary committeeQ|sectionQ|department of justiceQ|senate select committeeQ|committeeQ|patriot reauthorizationQ|financial services committeesQ|house intelligence chairQ|judiciary committeeQ|ssciQ|durbinQ|nslQ|dojQ|hpsci	traceQ|government
emptywheel	2013-08-02T00:00:00	william faulknerQ|faulknerQ|damario tillmanQ|ambush protected	helmandQ|afghanistanQ|marinesQ|camp bastionQ|southwest asia	potomac institute for policy studiesQ|most mrapQ|armored security vehicleQ|defense departmentQ|tm & ls ξ commando selectQ|marine corps timesQ|msfvQ|mobile strike force vehiclesQ|anaQ|defense video & image distribution systemQ|asvQ|natoQ|central commandQ|mobile strike force vehicleQ|afghan national armyQ|mrapQ|marine corps'Q|mobile strike force advisor teamQ|operation enduring freedomQ|marine corpsQ|esQ|enhanced survivability	mrapsQ|mobile strike force kandakQ|corps
emptywheel	2013-08-01T00:00:00	coleQ|michele catalanoQ|leahyQ|patrick leahyQ|robert muellerQ|james coleQ|catalano	bostonQ|suffolk	googleQ|sectionQ|doj	urls
emptywheel	2013-08-01T00:00:00	harun fazulQ|saleh nabhanQ|shephardQ|ahmed warsameQ|michele shephardQ|kate peytonQ|moalinQ|ayrowQ|abu talhaQ|john inglisQ|james clapperQ|osama bin ladenQ|ayro	arabian peninsulaQ|iranQ|mogadishuQ|somaliaQ|afghanistanQ|africaQ|east africa	aden hashi ayrowQ|nsaQ|al qaedaQ|senate judiciary committeeQ|yet al-shabaabQ|wikileaksQ|aden hashi ayroQ|eaaqQ|sectionQ|bbcQ|and toronto starQ|aiaiQ|internet trap and traceQ|foreign terrorist organization	osamaQ|shabaabQ|qaedaQ|italianQ|ethiopianQ|somalisQ|somali
emptywheel	2013-08-01T00:00:00	keith alexanderQ|michele catalanoQ|james clapperQ|najibullah zazi	bostonQ|koreaQ|china	fbiQ|joint terrorism task forceQ|jttfQ|one of catalanoQ|cnn	boston marathon
emptywheel	2013-08-01T00:00:00	keith alexanderQ|trey fordQ|alexanderQ|marc ambinder	iran	nsaQ|blackhatQ|guardianQ|section	xkeyscore
